creator,tiktok_video_id,date_posted,product,gross_revenue,sku_orders,cost,roi,video_title
ริว,7608132464090828053,2026-02-18,[สุดคุ้ม] หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fight the Demons in My Heart,3118.7,12,1220.99,2.55,เรากลัวไม่ใช่เพราะเราไม่เก่ง  แต่เพราะเราเชื่อว่าเราไม่ดีพอ 💬 . 🙁 เรากลัวเริ่มใหม่ กลัวการเปลี่ยนงาน  กลัวเดินออกจากความสัมพันธ์ ไม่ใช่เพราะเราทำไม่ได้  . แต่เพราะเสียงในหัวคอยบอกว่า …  💭  “แค่นี้ก็ดีแล้ว อย่าไปหวังมาก” และเสียงนั้นไม่ใช่เสียงของใคร  มันคือเสียงที่เราพูดกับตัวเองทุกวัน  . หนังสือ “ปีศาจตัวนั้น คือฉันเอง” 📖  คือหนังสือที่พาเราเผชิญหน้ากับเสียงเหล่านี้   🩹 ไม่ได้บอกให้เราต้องเข้มแข็ง   🩹 ไม่ได้บังคับให้คิดบวก แค่ทำให้เราเห็นว่าเรา  🩹 ไม่จำเป็นต้องดูถูกตัวเองขนาดนั้น  . เล่มนี้เหมาะกับใคร ? 💬 🙁 คนที่รู้สึกเครียด และกดดันจากการใช้ชีวิตทุกวัน 🙁 รู้สึกว่าแบกรับความคาดหวังหนักเกินไป 🙁 รู้สึกกดดัน หรือถูกขัดขวางความสุขในชีวิต 💔 ท้อแท้จากสัมพันธ์ทุกแบบจนไปต่อไม่ได้  . 👤 อ่านแล้วอาจไม่ได้ทำให้ชีวิตดีขึ้นทันที  แต่จะช่วยให้เราหยุดทำร้ายตัวเองด้วยคำพูดในใจ  และค่อย ๆ กล้าเลือกชีวิตที่ไม่กดคุณค่าของตัวเอง . 📌 ถ้าคุณกำลังกลัวและรู้สึกว่าตัวเองยังไม่ดีพอ  เล่มนี้อาจเป็นจุดเริ่มต้นของการกลับมาเชื่อตัวเองอีกครั้ง . “ปีศาจตัวนั้นคือฉันเอง” 📙  แถมฟรี ❗ที่คั่นปีศาจ 1 ชิ้น  . 👇🏻 สนใจสั่งซื้อกดตะกร้าได้เลย . #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง #หนังสือพัฒนาตัวเอง #books
มิ้น,7549518655562763536,2025-09-13,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,2994.97,6,862.03,3.47,✨Unbox Book 📕  #thewitchesclubชมรมลับเปลี่ยนชีวิต  🧙‍♀️🔮 #opendurianhowto #books #หนังสือฮีลใจ #ทํานายดวง  
ริว,7627084425607548181,2026-04-18,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),2962.78,7,358.38,8.26,ใจดีกับทุกคน… แต่ใจร้ายกับตัวเองที่สุด 🙁💬  . เราปลอบเพื่อนได้เก่ง ให้อภัยคนอื่นได้ง่าย 🫂 👥  เข้าใจความผิดพลาดของทุกคน แต่พอเรื่องตัวเอง  กลับเป็นคนแรกที่โทษตัวเอง พลาดนิดเดียวคิดวนทั้งวัน .  👤 เรื่องเล็กก็เอามาตำหนิตัวเอง ทั้งที่ความจริงแล้ว  คนที่ควรได้รับความใจดีจากเรามากที่สุด ก็คือตัวเราเอง . หนังสือ “กับดักความรู้สึกผิด” ⚠️ พาเราไปทำความเข้าใจ ว่าทำไมบางคนถึงโทษตัวเองง่ายกว่าคนอื่น  และจะเริ่มแยกให้ออกได้ยังไงว่า … 🗣️ อะไรคือ ความรับผิดชอบของเรา อะไรคือความคิดที่ทำร้ายใจเรา . ✔︎ ผ่านแนวคิดจิตวิทยา อ่านง่าย พร้อมตัวอย่างชัดเจน ✔︎ เขียนโดยคุณหมอที่มีประสบการณ์มากกว่า 20 ปี  ✔︎ มีแบบฝึกหัดพัฒนาใจที่ทำให้เราเมตตากับตัวเอง . เพราะมันน่าเสียดายเกินไป ถ้าเราจะใจดีกับทั้งโลก  แต่ … ลืมใจดีกับตัวเอง 💬  . 📖 หนังสือ “กับดักความรู้สึกผิด” ⚠️ แถมฟรี ที่คั่นหนังสือ 1 ชิ้น    . #OpenDurianHowTo #OpenDurianBooks #กับดักความรู้สึกผิด #แพทย์หญิงทานตะวัน  #Books
ริว,7605922991460912404,2026-02-12,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),2931.71,10,1777.79,1.65,เรา “เป็นคนดี” ที่ไม่มีความสุขหรือเปล่า ? . ทั้งที่ไม่ได้ทำอะไรผิด 💭 แต่เรากลับ “รู้สึกผิด” ที่ปฏิเสธเพื่อน  . เรารู้สึกผิดที่วันนี้ไม่ได้ทำงาน ถึงเราจะเหนื่อยแทบตาย  👤 หรือบางที... เราดันไปรู้สึกผิดแทนคนอื่น . ถ้าวันนี้คุณกำลังใช้ชีวิตแบบขอโทษคนทั้งโลก ยกเว้นตัวเอง นั่นแปลว่าคุณ … กำลังติดกับดักที่มองไม่เห็น 🩹  และมันกำลังสูบพลังชีวิตคุณให้คุณไม่มีความสุข . ถ้าไม่อยากให้ชีวิตถูกโกงความสุขไปมากกว่านี้  อยากให้ลองอ่านเล่มนี้ … 📖 หนังสือ ’กับดักความรู้สึกผิด‘  🖋️ เขียนโดย คุณหมอทานตะวัน  🩺 ผศ.ด้านจิตเวชศาสตร์ คณะแพทยศาสตร์     . ❤️‍🩹 หนังสือเล่มนี้ จะช่วยให้คุณได้เยียวยา  ก้าวข้ามความรู้สึกผิด ปลดล็อกปมในใจ เห็นประตูสู่การให้อภัย และเติบโตอย่างแท้จริง . 🗒️ เนื้อหาอ่านง่าย มาพร้อมภาพประกอบการอธิบาย 🗒️ สอดแทรก Case Studies ตัวอย่างจริงให้เราเข้าใจ . ✔︎ ก้าวข้ามความรู้สึกผิดได้ผ่านแนวคิดจิตวิทยา ✔︎ เข้าใจที่มาและเรียนรู้รับมือกับความรู้สึกผิดได้ถูกวิธี  ✔︎ ปรับความคิดและดูแลใจเมื่อความรู้สึกผิดเกิดขึ้น ✔︎ ปลดล็อกปมในใจ ก้าวสู่การให้อภัยและการเติบโต .  ⚠️ แถมฟรี ที่คั่นหนังสือ 1 ชิ้น    . 📌 สนใจสั่งซื้อกดตะกร้าได้เลย #กับดักความรู้สึกผิด #TheGuiltTrap #หมอทานตะวัน #opendurianhowto #opendurianbooks 
ริว,7558333473291914514,2025-10-07,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,2884.2,6,197.2,14.56,ไพ่ทำนายด้วยรายวัน🔮 ที่ดูดวงเองได้ไม่ต้องถึงแม่หมอ🤩🥳 รีบกดสั่งซื้อก่อนของหมดนะะ‼️ #o#opendurianhowtoo#opendurianbooksห#หนังสือพัฒนาตัวเองb#booksTheWitchesClub
ไม่ระบุ,7500490477708266773,2025-05-04,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,2851.05,6,3084.58,0.92,ขอต้อนรับสู่  📌The Witches' Club ชมรมลับเปลี่ยนชีวิต 🔮 ✨เมื่อได้เข้ามาแล้ว คุณจะค้นพบเวทมนตร์ 🔮 ในการเผชิญหน้ากับสารพันปัญหาในชีวิต💖 📌สำหรับใครที่สนใจหนังสือเล่มนี้กดที่ตะกร้าเหลืองได้เลย🔮 #opendurianhowto #books #หนังสือฮีลใจ #หนังสือเล่มโปรด #หนังสือพัฒนาตัวเอง #รักตัวเอง #thewitchesclubชมรมลับเปลี่ยนชีวิต ##ดูดวง #loveyourself 
มิ้น,7623783495139118356,2026-04-01,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),2640.09,8,922.24,2.86,จิตวิทยาบอกเอาไว้ว่า … การที่คน ๆ นึงไม่ยอมรับความผิดตัวเอง มันไม่ใช่เพราะเขาไม่รู้  แต่เพราะ “อีโก้” มันกำลังปกป้องเขาอยู่ อย่าปล่อยให้อีโก้ ทำให้คุณมองไม่เห็นตัวเอง  เล่มนี้…อาจเป็นทางออกของคุณ :) #กับดักความรู้สึกผิด  #opendurianhowto #books #fyp #ego 
ไม่ระบุ,7619282107294420245,2026-03-21,BOXSET เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (Helmet Girl),2605.61,10,1447.22,1.8,เรา “เหนื่อย”  เพราะเราพยายาม แบกทุกอย่างไว้คนเดียว🥲 “พยายามเก่งทุกอย่าง พยายามไม่เป็นภาระใคร พยายามยิ้ม ทั้งที่ข้างในแทบพัง   เราคิดว่า … ถ้าเราแบกได้ มันแปลว่า “เราเข้มแข็ง”  แต่ข้างในแทบ “แตกสลาย” ก็เหมือนหมวกกันน็อกใบนี้ ที่เรากำลังใส่มันไว้ ถอดเท่าไหร่ก็ไม่ออก …   ถ้าคุณรู้สึกอย่างนี้อยู่ “เล่มนี้…เขียนมาเพื่อคุณ” #เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก  #opendurianhowto #books #รักตัวเอง #fyp  
ริว,7626334442696559893,2026-04-08,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),2421.61,8,1268.3,1.91,ไซโคพาธ คือคนที่ไม่ค่อยรู้สึกผิด  และไม่ค่อยเห็นอกเห็นใจคนอื่น 🙁💭  . ลองเช็คตัวเองง่าย ๆ ถ้าคุณทำให้ใครเสียใจ  💬 คุณรู้สึกยังไง ถ้าคำตอบคือ … “รู้สึกผิด เสียใจ หรือคิดมากกับมัน”  ส่วนใหญ่แล้ว คุณไม่ใช่ไซโคพาธ 👤 . ในความเป็นจริง คนจำนวนมากกลับอยู่สุดอีกฝั่งหนึ่ง  🩹 คือ รู้สึกผิดง่ายเกินไป เรื่องเล็ก ๆ ก็โทษตัวเอง  🩹 คำพูดของใครบางคน ก็เก็บมาคิดทั้งวัน  ทำให้เรารับผิดชอบในเรื่องที่ ไม่ใช่หน้าที่ของเราเลย .  📖 หนังสือ “กับดักความรู้สึกผิด”  ✔︎ ช่วยแยกให้ออกว่าอะไรคือสิ่งที่เราควรรับผิดชอบ  ✔︎ อะไรคือ ภาระทางใจที่เราไม่จำเป็นต้องแบก ✔︎ อธิบายผ่านแนวคิดจิตวิทยาที่เข้าใจง่าย  ✔︎ พร้อมตัวอย่างเคสจริงจากหมอที่มีประสบการณ์ ✔︎ มีแบบฝึกหัดที่ช่วยให้กลับมาดูความคิดตัวเอง  . 💬 ความคิดแบบไหนกำลังช่วยให้เราเติบโต และความคิดแบบไหนกำลังทำร้ายใจเราอยู่ . เพราะบางครั้งการดูแลสุขภาพจิตของตัวเอง  อาจเริ่มจากการ เลิกโทษตัวเองในทุกเรื่อง 👤  . 📖 หนังสือ “กับดักความรู้สึกผิด” ⚠️ แถมฟรี ที่คั่นหนังสือ 1 ชิ้น    . 📌 สนใจสั่งซื้อกดตะกร้าได้เลย . #กับดักความรู้สึกผิด #TheGuiltTrap #หมอทานตะวัน #opendurianhowto #opendurianbooks 
ไม่ระบุ,7577632440265575700,2025-12-02,หนังสือ MANIFEST GUIDELINE คู่มือฝึก Manifest อย่างเป็นระบบ พร้อมแบบฝึกหัดท้ายบท,2394.3,8,4.31,555.44,Unpack หนังสือเล่มใหม่ #ManifestGuideline คู่มือที่จะเปลี่ยนชีวิตของคุณให้เป็นดั่งที่ฝันไว้ ผ่านการ Manifest ที่เห็นผลจริง #opendurianhowto #manifest #พัฒนาตัวเอง
