ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[17.06.25][มิ้น] คุณเคยเสียดายอะไรมั้ย (Ghostly)",120231111152920260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[23.10.24] [มิ้น] โดนตกจากประโยคหลังปก (Life)",120216499891260260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[24.03.25][มิ้น] 5 ข้อคิดที่ได้จากหนังสือ (Gift)",120222717828890260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[13.03.25][มิ้น] Mid Month จับคู่ 2 Boxset 990.- (Promotion_MM)",120222131623830260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[13.08.25][มิ้น] แม้คนในครอบครัวจะจากไป (ปีศาจตัวนั้น)",120234820747350260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[30.04.25][มิ้น] จากใจนักเขียน “คิ้วต่ำ” (Kiwtum)",120227299089800260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[22.07.25][มิ้น] เล่มใหม่ออกมาอีกแล้ว (Tried)",120233014563510260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[06.09.24] [มิ้น] โปรโมชั่น 9.9 flow ใหม่",120215379950760260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[13.08.25][มิ้น] โคตรจะชอบประโยคนี้ (Witches)",120234825730700260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[22.05.25][มิ้น] หนังสือใหม่ออกมาอีกละ!!! (Ghostly)",120229079814190260,2026-02-28,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[23.07.25][มิ้น] อ่านแล้วหายเหนื่อย (Tried)",120234719088420260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[29.10.24] [มิ้น] อาจจะเป็นเพราะความรักเป็นสิ่งที่หอมหวาน (ปีศาจความรัก)",120216650233680260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.02.25][มิ้น] สัมภาษณ์คุณปั๊ม คิ้วต่ำ (Kiwtum)",120221001878400260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[11.10.25][มิ้น] ถ้าวันไหนไม่มีใครเข้าใจ (Tried)",120238409069070260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
"[04.12.24] [มิ้น] 5 เทคนิคเก็บเงินง่ายๆ (Million)",120217524670740260,2026-02-28,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-02-28,2026-02-28
