ชื่อโฆษณา,"ID โฆษณา",วัน,สถานะการแสดงโฆษณา,ระดับการแสดงโฆษณา,ประเภทผลลัพธ์,ผลลัพธ์,ต้นทุนต่อผลลัพธ์,ค่าคอนเวอร์ชั่นการซื้อ,"จำนวนเงินที่ใช้จ่ายไป (THB)","ROAS (ผลตอบแทนจากค่าใช้จ่ายในการโฆษณา) ของการซื้อ",อิมเพรสชัน,การเข้าถึง,การซื้อ,การสนทนาผ่านการส่งข้อความที่เริ่มขึ้น,ต้นทุนต่อการเริ่มการสนทนาผ่านการส่งข้อความ,คำสั่งซื้อที่สร้างขึ้น,การคลิกลิงก์,"CTR (ทั้งหมด)","CPM (ต้นทุนต่ออิมเพรสชั่น 1,000 ครั้ง)","%CVR (META)",เริ่มการรายงาน,สิ้นสุดการรายงาน
"[25.04.26][หมิว] การถูกค้นพบมันต้องใช้เวลา (Ghostly)",120247727234560260,2026-05-04,not_delivering,ad,การมีส่วนร่วมกับโพสต์,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[05.08.24] [หมิว] 8.8 ทรงอย่างแซด (ภาพเดี่ยว)",120214592608410260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.01.25] [หมิว] เปิดตัวเล่มใหม่ 2 (Home)",120218662118160260,2026-05-04,archived,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[24.12.24] [หมิว] กลัวผิดพลาดจนไม่กล้าลงมือทำ (Ghost)",120218109695830260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.09.24] [หมิว] แจกฟรีวอลเปเปอร์ (คาปิบาร่า_box set)",120215484435570260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[11.08.25][หมิว] E-Book The Witches with Price (Witches)",120234715269320260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[13.08.24] [หมิว] พร้อมขายวันนี้ (Helmet_Boxset)",120214719156630260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[21.05.25][หมิว] 3 เรื่อง(ลับ) (Witches)",120226204295250260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[09.04.25][หมิว] พลาดงานหนังสือก็ได้เล่มลายเซ็น (Witches)",120225189927970260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[13.08.24] [หมิว] เปิดตัว",120214719161080260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[25.01.25] [หมิว] ซื้อหนังสือวันนี้ ฟรี Oh! Wall (Promotion_Free)",120219260236550260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[04.06.25][หมิว] เมื่อคนที่หมดแพชชัน (Ghostly)",120232158042470260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[27.12.24] [หมิว] คุณรู้จักนักเขียนเพจนี้หรือไม่ (Kidmakk)",120218149641670260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[19.05.25][หมิว] ถ้าคุณเริ่มรู้สึกแบบนี้ (ปีศาจตัวนั้น)",120229481316040260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[26.04.25][หมิว] แมวสายลับ จอมฮีลใจ (Witches_เล่มเดี่ยว)",120226852219990260,2026-05-04,inactive,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
"[20.08.25][หมิว] แจกฟรี Magic เมื่อซื้อหนังสือ (Promotion)",120235299848460260,2026-05-04,not_delivering,ad,,,,,0,,0,0,,,,,,,,,2026-05-04,2026-05-04
